date/time,Time (h),Time per step (min),Time per cicle (h),PIT3,PIT2,PIT4,PIT1,PIT5,FIT1,FIT2,FIT3,PH1,TIT1,PH2,TIT2,PH3,TIT3,CO3,CO4,CO5,CO2,CO1,Resistance (Ohm),Ustack,Rlinear,Ce,v,I
8/20/2019 11:08,0.3333,0,0,0.806,0.003,0.611,0.036,0.634,64.417,64.898,303.485,8.111,30.662,8.011,30.382,8.684,31.477,20.274,20.033,34.773,20.073,20.754,0.1912,3.968,0.2153,0.2,3,1.41
8/20/2019 11:08,0.3375,0.25,0.0042,0.806,0.006,0.611,0.039,0.659,64.958,63.876,310.695,8.109,30.652,8.01,30.386,8.701,31.477,20.193,20.033,34.773,20.073,20.754,0.2091,4.339,0.2355,0.2,3,1.41
8/20/2019 11:09,0.3417,0.5,0.0083,0.806,0.008,0.618,0.042,0.66,64.477,63.636,312.437,8.111,30.662,8.011,30.374,8.696,31.477,20.193,20.033,34.773,20.274,20.754,0.2232,4.633,0.2514,0.2,3,1.41
8/20/2019 11:09,0.3458,0.75,0.0125,0.805,0.009,0.623,0.042,0.661,63.756,64.056,312.737,8.109,30.68,8.011,30.374,8.687,31.473,20.193,20.033,34.773,20.314,20.594,0.2312,4.762,0.2604,0.2,3,1.41
8/20/2019 11:09,0.35,1,0.0167,0.806,0,0.621,0,0.661,65.799,67,313.338,8.109,30.702,8.011,30.364,8.686,31.477,20.193,20.033,34.773,20.274,20.594,0.2343,4.825,0.2638,0.2,3,1.41
8/20/2019 11:09,0.3542,1.25,0.0208,0.797,0,0.605,0,0.661,66.039,67,313.759,8.109,30.732,8.011,30.364,8.684,31.477,20.274,20.033,34.813,20.474,20.594,0.2374,4.89,0.2673,0.2,3,1.41
8/20/2019 11:10,0.3583,1.5,0.025,0.791,0,0.592,0,0.66,66.46,65.919,313.879,8.109,30.702,8.011,30.374,8.68,31.473,20.193,20.033,34.773,20.474,20.594,0.2406,4.955,0.2709,0.2,3,1.41
8/20/2019 11:10,0.3625,1.75,0.0292,0.787,0,0.592,0,0.66,64.958,65.859,313.639,8.111,30.68,8.011,30.386,8.679,31.473,20.193,20.033,34.773,20.474,20.594,0.246,5.066,0.2771,0.2,3,1.41
8/20/2019 11:10,0.3667,2,0.0333,0.787,0,0.591,0,0.662,64.898,65.919,313.939,8.11,30.672,8.011,30.386,8.679,31.477,20.274,20.033,34.773,20.434,20.594,0.2493,5.134,0.2808,0.2,3,1.41
8/20/2019 11:10,0.3708,2.25,0.0375,0.787,0,0.591,0,0.661,65.438,66.099,313.759,8.11,30.672,8.011,30.382,8.676,31.477,20.193,20.033,34.773,20.474,20.354,0.2535,5.16,0.2855,0.2,3,1.41
8/20/2019 11:11,0.375,2.5,0.0417,0.79,0,0.591,0,0.661,65.679,65.919,313.939,8.111,30.65,8.011,30.382,8.675,31.473,20.193,20.033,34.773,20.434,20.354,0.2532,5.153,0.2851,0.2,3,1.41
8/20/2019 11:11,0.3792,2.75,0.0458,0.789,0,0.59,0,0.661,65.859,65.679,313.879,8.111,30.652,8.009,30.382,8.675,31.473,20.274,20.033,34.773,20.434,20.354,0.2535,5.16,0.2855,0.2,3,1.41
8/20/2019 11:11,0.3833,3,0.05,0.789,0,0.59,0.02,0.661,64.417,65.378,313.939,8.111,30.632,8.009,30.382,8.673,31.473,20.193,20.033,34.773,20.474,20.354,0.2538,5.165,0.2858,0.2,3,1.41
8/20/2019 11:11,0.3875,3.25,0.0542,0.789,0.002,0.59,0.035,0.66,64.056,63.456,313.338,8.11,30.6,8.011,30.382,8.673,31.473,20.193,20.033,34.773,20.434,20.354,0.2547,5.185,0.2869,0.2,3,1.41
8/20/2019 11:12,0.3919,3.5167,0.0586,0.789,0.005,0.604,0.039,0.661,63.456,63.456,313.158,8.111,30.612,8.009,30.386,8.67,31.473,20.193,20.033,34.773,20.434,20.354,0.2541,5.172,0.2862,0.2,3,1.41
8/20/2019 11:12,0.3961,3.7667,0.0628,0.798,0.008,0.616,0.042,0.661,63.636,64.117,312.918,8.111,30.622,8.011,30.382,8.669,31.473,20.274,20.033,34.773,20.474,20.314,0.2511,5.101,0.2828,0.2,3,1.41
8/20/2019 11:12,0.4003,4.0167,0.0669,0.801,0.008,0.617,0.041,0.659,64.237,63.996,312.737,8.111,30.64,8.011,30.386,8.667,31.477,20.193,20.033,34.773,20.474,20.354,0.2509,5.106,0.2825,0.2,3,1.41
8/20/2019 11:12,0.4044,4.2667,0.0711,0.802,0.008,0.617,0.041,0.66,64.056,63.876,312.737,8.109,30.65,8.011,30.386,8.667,31.473,20.193,20.033,34.773,20.474,20.354,0.2527,5.144,0.2846,0.2,3,1.41
8/20/2019 11:13,0.4086,4.5167,0.0753,0.806,0.007,0.618,0.041,0.659,64.477,63.816,312.677,8.109,30.662,8.011,30.382,8.667,31.477,20.274,20.033,34.773,20.434,20.354,0.2546,5.183,0.2868,0.2,3,1.41
8/20/2019 11:13,0.4128,4.7667,0.0794,0.805,0.007,0.616,0.04,0.66,64.056,63.876,312.737,8.109,30.68,8.011,30.382,8.666,31.473,20.193,20.033,34.773,20.474,20.354,0.2555,5.2,0.2877,0.2,3,1.41
8/20/2019 11:13,0.4169,5.0167,0.0836,0.805,0.007,0.618,0.04,0.659,64.837,63.996,312.858,8.109,30.702,8.011,30.386,8.665,31.485,20.274,20.033,34.773,20.474,20.354,0.257,5.231,0.2895,0.2,3,1.41
8/20/2019 11:13,0.4211,5.2667,0.0878,0.804,0,0.617,0,0.66,66.46,65.018,313.098,8.109,30.742,8.011,30.382,8.665,31.485,20.193,20.033,34.773,20.474,20.354,0.2538,5.165,0.2858,0.2,3,1.41
8/20/2019 11:14,0.4253,5.5167,0.0919,0.8,0,0.612,0,0.659,66.039,67.06,313.699,8.108,30.762,8.011,30.382,8.664,31.485,20.193,20.033,34.773,20.474,20.354,0.2535,5.16,0.2855,0.2,3,1.41
8/20/2019 11:14,0.4294,5.7667,0.0961,0.794,0,0.595,0,0.658,65.739,66.339,313.458,8.108,30.756,8.009,30.386,8.662,31.485,20.193,20.033,34.773,20.434,20.354,0.2535,5.16,0.2855,0.2,3,1.41
8/20/2019 11:14,0.4336,6.0167,0.1003,0.794,0,0.592,0,0.66,65.679,65.799,313.458,8.109,30.73,8.011,30.382,8.661,31.483,20.193,20.033,34.773,20.474,20.354,0.2573,5.238,0.2898,0.2,3,1.41
8/20/2019 11:14,0.4378,6.2667,0.1044,0.794,0,0.592,0,0.66,65.438,65.739,313.579,8.11,30.71,8.009,30.382,8.661,31.477,20.274,20.033,34.773,20.474,20.354,0.26,5.292,0.2928,0.2,3,1.41
8/20/2019 11:15,0.4419,6.5167,0.1086,0.793,0,0.591,0,0.66,65.438,65.919,313.939,8.111,30.682,8.01,30.382,8.66,31.485,20.274,20.033,34.773,20.474,20.354,0.2605,5.303,0.2934,0.2,3,1.41
8/20/2019 11:15,0.4461,6.7667,0.1128,0.795,0,0.59,0,0.659,65.739,66.039,313.699,8.111,30.682,8.009,30.382,8.661,31.485,20.193,20.033,34.773,20.474,20.354,0.2584,5.26,0.291,0.2,3,1.41
